Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿El email puede ser mostrado al docente?
1/19/2020 10:09:49,75.01-95.01-Computación - 1 - Strobino,Excelente,Sí,Interesantes,Sí,Excelentes,Buenas,Normal,Normal,"La primera parte del curso fue más bueno que excelente la parte práctica
Pero en la segunda parte fue excelente",Si
2/14/2020 11:02:35,75.01-95.01-Computación - 11 - Calvo,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,,Si
2/14/2020 11:02:52,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,Si
2/14/2020 11:07:41,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Dificil,Normal,,Si
2/14/2020 11:08:37,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Interesantes,Sí,Buenas,Muy Buenas,Normal,Normal,,No
2/14/2020 11:15:36,75.01-95.01-Computación - 11 - Calvo,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Dificil,Me parecio muy buena la profesora ya que es didactica dando las clases y lo hace llevadero. El TP final bastante exigente pero finalmente lo pudimos resolver con mi compañero asique nos sirvio mucho para afianzar los conocimientos de programacion. Definitivamente voy a recomendar esta catedra.,Si
2/14/2020 11:31:18,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Regulares,Normal,Dificil,,Si
2/14/2020 11:54:54,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Interesantes,Sí,Excelentes,Muy Buenas,Normal,Fácil,"El docente aclara todas las dudas y las teóricas muy interesantes. La idea del tp es encarar un proyecto con el programa investigando maneras o información sobre el tema elegido, pero si no podes continuar te ayuda con la info que te falta o repasando como tiene que hacer el algoritmo.",No
2/14/2020 12:16:49,75.01-95.01-Computación - 11 - Calvo,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,,No
2/14/2020 12:56:44,75.01-95.01-Computación - 11 - Calvo,Bueno,Sí,Muy Interesantes,No,Muy Buenas,Muy Buenas,Normal,Normal,se perdieron muchas horas de clase viendo temas de teoría que nunca se usó,No
2/14/2020 13:55:10,75.01-95.01-Computación - 11 - Calvo,Bueno,Sí,Interesantes,Sí,Buenas,Buenas,Dificil,Muy dificil,,No
2/14/2020 14:31:01,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,
2/14/2020 15:20:33,75.01-95.01-Computación - 11 - Calvo,Excelente,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Facil,Dificil,,Si
2/14/2020 16:08:49,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Dificil,,Si
2/14/2020 19:11:26,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,"Muy buen curso, muy recomendable.",
