"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2017/06/30 1:21:16 PM GMT-3","Sistemas Operativos - Mendez","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil","Consume un tiempo importante, dado que son muchos tps y con cierta dificultad (debuguear kernels es un proceso lento y tedioso), pero se aprende una barbaridad, tanto desde el punto de vista teórico como práctico. El curso es excelente y lo recomendaría a cualquiera."
"2017/06/30 1:23:21 PM GMT-3","Análisis Numérico - Schwarz","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Excelentes","Normal","Normal",""
"2017/06/30 1:25:09 PM GMT-3","Análisis Numérico - Schwarz","Regular","No","Poco Interesantes","Sí","Buenas","Malas","Muy Dificil","Dificil",""
"2017/06/30 1:26:35 PM GMT-3","Análisis Numérico - Schwarz","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Muy dificil",""
"2017/06/30 1:30:59 PM GMT-3","Análisis Numérico - Schwarz","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2017/06/30 1:32:50 PM GMT-3","Sistemas Operativos - Mendez","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil","Mariano, Dato y Ari manejaron muy bien el curso. Le metieron muchísimo empeño, trabajo y dedicación. Está *muy* actualizado el curso; los trabajos prácticos y la bibliografía provista ayuda muchísimo a entender los temas. Si este es el primer cuatrimestre, ¡no me imagino lo que será el siguiente! Mis más sinceras congratulaciones, caballeros."
"2017/06/30 1:33:23 PM GMT-3","Análisis Numérico - Sassano","Regular","Sí","Poco Interesantes","Sí","Regulares","Regulares","Muy Facil","Muy Fácil","Es un curso para llevarse la materia regalada. Los últimos en tomarse en serio la materia son los docentes, a excepción de Andrés Porta que realmente le pone ganas, dedicación, y sus clases se destacan por sobre las de los demás docentes."
"2017/06/30 1:33:49 PM GMT-3","Técnicas de Diseño - Pantaleo","Bueno","Sí","Interesantes","Sí","Buenas","Malas","Dificil","No hay TP",""
"2017/06/30 1:34:21 PM GMT-3","Base de Datos - Beiro","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Normal",""
"2017/06/30 1:34:56 PM GMT-3","Lenguajes Formales - Kuhn","Bueno","Sí","Interesantes","No","Buenas","Buenas","Dificil","Muy dificil",""
