"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2018/12/07 10:35:57 AM GMT-3","Organización de Datos - Argerich","Muy Bueno","No","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil","En general es excelente el curso pero lo que si me gustaría que cambiarán es que las clases que se hacen con presentaciones de diapositivas se suban antes de la clase y no después porque facilitaria mucho la toma de apuntes sobre temas nuevos y además que debido a la gran cantidad de gente que asiste al curso hay muchos a los que se nos dificulta verlas bien cuando no nos podemos sentar cerca del proyector."
"2018/12/07 10:37:34 AM GMT-3","Análisis de la Información / Métodos y Modelos de la Ing. del Software I - Villagra","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Excelentes","Dificil","Normal","Excelente materia, excelente cátedra. A pesar de tener un régimen distinto al tradicional lleva su tiempo y esfuerzo! Excelente la dedicación de los docentes "
"2018/12/07 10:42:14 AM GMT-3","Computación-Cabrera","Malo","Sí","Poco Interesantes","No","Malas","Malas","Normal","Normal",""
"2018/12/07 10:45:24 AM GMT-3","Análisis de la Información / Métodos y Modelos de la Ing. del Software I - Villagra","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Facil","Fácil",""
"2018/12/07 10:47:37 AM GMT-3","Arquitectura de Software - Calonico","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Facil","Normal","Las clases muy amenas con temas actualizados y un tp que te hace ver un montón de tecnologías distintas que verdaderamente sirven para el día a día.
Como comentario aparte, aprendí más de patrones en esta materia que con el chiste de Tdd.

Estaría bueno que sea promocionable."
"2018/12/07 10:48:21 AM GMT-3","Base de Datos - Beiro","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2018/12/07 10:49:47 AM GMT-3","Métodos y Modelos de la Ing. del Software II / Técnicas de Diseño - Paez","Muy Bueno","Sí","Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Dificil",""
"2018/12/07 10:50:50 AM GMT-3","Base de Datos - Beiro","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Muy Fácil","Excelente curso. Uno de los mejores dictados hasta el momento. Beiró demuestra en sus clases lo mucho que sabe al respecto y lo buen profesor que es gracias a lo didactica de sus clases."
"2018/12/07 10:52:13 AM GMT-3","Métodos y Modelos de la Ing. del Software II / Técnicas de Diseño - Paez","Regular","Sí","Interesantes","Sí","Regulares","Buenas","Normal","Normal","La materia esta buena, en especial la dinámica de aula invertida. Sin embargo, considero que esta mejor aplicada en AnInfo que acá.
Quiero hacer un comentario sobre el profesor Paez. Es una persona muy capacitada y que sabe mucho, pero le falta mucha pedagogía. Su trato con los alumnos es lamentable, llegando a ser violento por momentos. Tanto en la clase como en la cadena de mails. Para dar ejemplos concretos, realiza escraches a distintos alumnos por separado mandándolo a la cadena de mails general para que todos lo vean. Esto lo considero como mínimo bullying, no por lo que transmite en sus mails si no por la manera poco académica en que lo hace. Hay gente que por esta misma razón decidió dejar la materia y no está bueno que casos así queden por fuera de las encuestas.
Por otro lado, el profesor Gutter es mucho mejor. Manteniendo el nivel de calidad académica y también teniendo un buen trato con los alumnos. Exceptuando casos en los que se suma a los malos tratos de Paez, pero son los menos.
En conclusión, creo que la materia esta buena y tiene mucho potencial, pero situaciones como estas hacen que te vayas de la materia con un sabor amargo."
"2018/12/07 10:52:20 AM GMT-3","Administración y Control de Proyectos 1 - Fontela","Muy Bueno","Sí","Poco Interesantes","Sí","Excelentes","Regulares","Facil","Dificil","Los temas no son de mi agrado, pero la materia está bien dada. Es un placer hacer una materia con Carlos.
 El mayor problema fue el tp, no por su dificultad si no por el poco tiempo que dieron para realizarlo y lo poco clara que estaba la consigna. Nos matamos en hacer un producto que ande cuando tranquilamente podría haber estado todo hardcodeta. Debería darse o más tiempo, o reducir el scope."
